"","District","room_id","host_id","room_type","reviews","overall_satisfaction","price","minstay","latitude","longitude","rate"
"1","Allston/Brighton",3353,4240,"Private room",31,4.5,37,7,42.355017,-71.12759,10.6537594837127
"2","Allston/Brighton",9572941,36388924,"Private room",4,5,62,1,42.350813,-71.14172,10.6537594837127
"3","Allston/Brighton",14253149,26956083,"Private room",6,5,79,2,42.361206,-71.126493,10.6537594837127
"4","Allston/Brighton",8388481,26956083,"Private room",5,4.8,81,2,42.358573,-71.140601,10.6537594837127
"5","Allston/Brighton",7346767,4198683,"Entire home/apt",7,4.5,54,1,42.347147,-71.140434,10.6537594837127
"6","Allston/Brighton",7346767,4198683,"Private room",6,4.5,54,1,42.347147,-71.140434,10.6537594837127
"7","Allston/Brighton",1327725,7205617,"Entire home/apt",124,4.5,144,3,42.345668,-71.139219,10.6537594837127
"8","Allston/Brighton",8733397,799496,"Entire home/apt",12,4.7,189,2,42.3519054285714,-71.1254032857143,10.6537594837127
"9","Allston/Brighton",10747524,36468245,"Private room",17,4.9,73,1,42.358362,-71.140876,10.6537594837127
"10","Allston/Brighton",14280818,78204855,"Private room",6,5,50,1,42.341767,-71.14501,10.6537594837127
"11","Allston/Brighton",7357784,17177989,"Private room",3,5,77,2,42.358391,-71.153519,10.6537594837127
"12","Allston/Brighton",15410121,98677276,"Private room",6,5,58,1,42.359023,-71.145,10.6537594837127
"13","Allston/Brighton",13081828,4647752,"Private room",4,5,80,1,42.349007,-71.137421,10.6537594837127
"14","Allston/Brighton",15411960,98677276,"Private room",4,5,43,1,42.359518,-71.145016,10.6537594837127
"15","Allston/Brighton",8417742,26956083,"Private room",7,5,111,2,42.3610245555556,-71.1415872222222,10.6537594837127
"16","Allston/Brighton",8419159,22613142,"Private room",33,4.9,66,1,42.344774,-71.145969,10.6537594837127
"17","Allston/Brighton",6089975,21983670,"Entire home/apt",4,4,269,1,42.347846,-71.135599,10.6537594837127
"18","Allston/Brighton",4598026,5383468,"Private room",17,5,49,5,42.3507764,-71.1353768,10.6537594837127
"19","Allston/Brighton",10758,38440,"Private room",2,3,115,1,42.353449,-71.131797,10.6537594837127
"20","Allston/Brighton",10807,38440,"Private room",1,3,80,1,42.354123,-71.130486,10.6537594837127
"21","Allston/Brighton",10809,38440,"Private room",11,3.5,100,1,42.354788,-71.132088,10.6537594837127
"22","Allston/Brighton",4604023,1730791,"Private room",3,4.7,63,1,42.353808,-71.130488,10.6537594837127
"23","Allston/Brighton",7420789,17177989,"Private room",36,5,68,2,42.358245,-71.153068,10.6537594837127
"24","Allston/Brighton",9685102,815156,"Private room",28,4.7,61,1,42.335887,-71.148954,10.6537594837127
"25","Allston/Brighton",8780440,46024636,"Entire home/apt",8,4.1,109,2,42.342287,-71.155157,10.6537594837127
"26","Allston/Brighton",5762656,15501263,"Entire home/apt",11,5,250,1,42.333599,-71.158912,10.6537594837127
"27","Allston/Brighton",13509242,77341393,"Entire home/apt",3,4.5,66,2,42.350531,-71.128209,10.6537594837127
"28","Allston/Brighton",13115376,5235073,"Entire home/apt",7,4,90,2,42.338511,-71.149098,10.6537594837127
"29","Allston/Brighton",341207,1730791,"Private room",38,5,38,1,42.352914,-71.13553,10.6537594837127
"30","Allston/Brighton",4628907,15019209,"Private room",5,3.2,50,1,42.3494365,-71.1402843333333,10.6537594837127
"31","Allston/Brighton",13515084,19548932,"Private room",23,4.6,75,1,42.357206,-71.128717,10.6537594837127
"32","Allston/Brighton",9713578,48397744,"Private room",2,5,45,1,42.351602,-71.134253,10.6537594837127
"33","Allston/Brighton",4636975,9077069,"Entire home/apt",30,4.4,100,1,42.354048,-71.130032,10.6537594837127
"34","Allston/Brighton",13126713,25149641,"Private room",6,4.5,135,1,42.351367,-71.132991,10.6537594837127
"35","Allston/Brighton",11639771,61695168,"Entire home/apt",6,4.5,110,1,42.340048,-71.157991,10.6537594837127
"36","Allston/Brighton",8454567,44504161,"Private room",1,5,80,1,42.354378,-71.126494,10.6537594837127
"37","Allston/Brighton",15507108,9614332,"Entire home/apt",4,5,90,1,42.339414,-71.150868,10.6537594837127
"38","Allston/Brighton",13533798,67061427,"Private room",5,4,50,1,42.351662,-71.13497,10.6537594837127
